result	original	partial
0	-2.0910305055030927	-0.4879519033001538
1	4.570788643894438	-0.6249304070168092
0	-3.6362854700178584	-0.6535267568979294
1	2.8317410903686686	-0.9819486464885164
0	-1.6228882069768316	-0.6842068310211376
1	4.1878366985468665	-0.030083369260065843
0	-3.500576379839025	-0.5306306896740309
0	-3.285049352218432	-0.5746668380953235
0	-2.672579065082481	-0.25306529117074167
1	4.661353156782194	-0.5975457456948039
1	2.3272608312831315	0.743907116527958
1	3.079781527702408	-0.3298530645409668
1	1.6298982073052921	-0.3682524066291176
0	-3.555843600144963	-0.10715481542058257
0	-2.039122010254136	0.03208267200525778
0	-1.3807850695001191	-0.6868760170682866
1	0.6551100405217671	-0.4902739477226919
1	3.469591949773759	0.8437187208247185
0	-1.034668406988221	-1.2373298134104693
1	4.557667306934452	-1.4104863050364957
1	1.6336569794079316	-0.5392387727140286
0	-0.8418885677291293	-1.2152679016919303
1	-1.5020582156806246	-0.43808393187808514
1	0.7764105067767594	-1.0434027118934306
1	3.9207422564652026	-1.069139586226096
1	-3.418379129971563	-1.167332167289392
1	2.1763856295754254	-1.00407986760814
0	-3.76260592270792	-0.6005490308008549
0	-1.8792318180138776	-0.5573712073014364
0	-2.2497377810262704	-0.772318412250788
0	-0.08316992454076416	0.09754931869935524
1	0.3453158637730066	-0.4816803514228909
0	-2.103250000717227	-1.428434462490288
0	-2.5397764448235276	-0.3377295889116791
1	3.924992789258328	-1.263619125715537
0	-1.3587107911528453	-0.6622368592454178
0	3.2124822175067203	-2.978015379458797
1	4.203501148566249	-1.405164347157137
0	-2.185623570044978	-0.42093789124159764
1	3.432914024702562	-0.7166983863945959
0	-1.2703976928628595	-0.4427382362934734
0	-1.3570467327932092	-0.934030218030392
0	-2.5675010701385053	-0.8766275191753029
0	-3.376136719258163	-0.8551121100430692
1	3.3620784833306576	-0.29538788462626964
0	-3.96930216199177	-1.1862560042370371
0	-3.937170778202086	-0.9552637925920958
1	4.408707038100245	-0.6381018452200847
0	-2.9251414102925093	-0.15284769783488433
0	-3.340619408939105	-0.6375551014294624
1	5.25865142732733	-1.3104641601856495
1	3.640135573056377	-0.8016049654577995
1	2.334135453051223	-0.09839524661204159
0	-0.4211886011468423	-0.2504254878665703
1	2.6519639927512633	-0.7882069576659604
1	3.878651118607501	-0.6319173981997941
0	-3.2378566905075594	-1.1075179274263414
0	-2.2593982584510406	-0.19601229352431707
1	2.118685115985574	-0.22031378896771692
1	4.690150240856766	-0.23532701965009378
1	3.228767184894058	-0.5278654205424745
0	-0.47957838186913293	-0.2973541235032822
0	-2.7368186337201554	-0.6016157147405025
1	2.524688355154753	-0.7806464837623596
1	1.7561918681169595	-0.20867823974665695
1	3.69474848251179	-1.206128446856551
0	-2.7285075064891164	-0.2685500455063298
0	-1.1125753519082768	-0.6195719116376104
0	-3.535665427002725	-0.6421225883425075
0	-0.20555592779528636	-1.1745599716854216
0	-1.5507559407840572	-0.3749295707662475
1	4.1257020149892245	-0.4726613545604569
0	-3.36077184612639	-0.996000415981116
0	-1.350461775425068	-0.16468566469290805
1	-0.15437031597284126	-0.24106097295877493
0	-2.9728281728508716	-0.8862586615459223
1	-1.7175829503790705	0.16870568746609454
1	3.7965213832933116	-0.9232222790607854
1	3.325702992431228	-0.8543492110202633
1	1.754182667680795	-0.8741061040658492
0	-2.670240428697744	-0.39766350233246867
1	2.346370176164572	-0.18831535602777405
0	-1.5592645001135086	-1.1068181646279616
0	-1.8720853756522327	-1.6460921080880369
1	2.4535161524525995	-0.49889987065556574
1	3.5865617546041637	-0.71043042586068
0	-2.47646128273965	-0.8535750456379494
0	-3.3727648915581074	-0.4300375650114658
0	-3.444517373216381	-0.4949445560016146
1	-0.09543149680481774	-0.6422264602776583
0	-4.481595141977925	-0.5120527803157094
1	2.870167553110196	-0.4773893921244252
0	-3.38613395472887	-0.8101618159924217
1	4.936613687378966	-0.7082697688367052
0	-2.200566161622791	-0.5320479374525802
1	3.6941083238352186	-1.4305867242524546
1	4.269393376895103	-1.070592121418577
0	-0.013491746265181648	-0.9862800221930641
1	1.738503648891159	0.46575101263324775
